x,y,z
126.53084981636812,450.89495310642644,a
147.42455980766718,422.6879254460943,a
81.0406290667008,457.31405633858566,a
89.34500233553341,478.20535494723265,a
105.95488524089983,433.79795431833725,a
104.44196336608705,438.7725435945043,a
64.51930901759154,429.5116362266474,a
125.02323602926799,452.39084078985064,a
102.19767681715327,408.14520274098516,a
78.95749185159022,446.2742269128,a
124.66167643101247,414.43929175436614,a
88.98876476706856,432.6178483009555,a
47.76746638491786,425.5962970353551,a
143.19020613817577,380.05424431963206,a
94.78786808690343,386.7794743566213,a
133.24814236507325,394.1350597189787,a
94.6886363157668,426.30703814637985,a
93.09747282873334,391.7686662338756,a
121.902798054628,400.21047122584304,a
114.83020601838261,382.565520075338,a
110.40365967552633,398.5318132413911,a
129.48592380643396,369.1616924112951,a
124.52934827165154,425.8648505608603,a
139.37276917486008,384.1265383431373,a
97.22805543956977,394.3648678763054,a
100.08871745413677,373.999932590809,a
124.93058484479717,342.58252874201213,a
124.71874207419553,325.89844876278227,a
92.80041067407778,361.90976020374944,a
117.38842688735353,362.23202845869514,a
76.85552971806791,365.6841736396402,a
125.52973958779309,379.1986560068136,a
138.86303027899208,383.8013710887474,a
100.56881893543608,367.93353509016333,a
116.8531634463243,344.02255564352777,a
124.6465659661871,336.45881988731446,a
98.32010743019002,323.7298364092626,a
87.69560449481553,332.9887230784227,a
132.72031255835074,356.6183534762997,a
83.849823732559,284.2624635191986,a
107.27789505883085,349.85542267784274,a
96.33683498351294,326.90487784656864,a
107.61612924198275,302.5568056576975,a
108.55921823991638,339.0362801269405,a
97.92158035321542,292.15971420234985,a
75.07689892766388,252.10041847914601,a
115.29842121694755,286.1228942321224,a
86.04911314070054,260.65084368351245,a
72.58019659949224,314.5682258013903,a
91.66271680595024,279.3394533677919,a
100.93116093074465,295.70254678244396,a
143.1584243194162,289.77770127881115,a
111.09994480246478,312.3431034879127,a
126.89389200393836,255.02407606749077,a
103.0127405466404,261.80640868591445,a
132.98922557636732,256.0390036575783,a
106.94359553589202,266.3212309589263,a
71.99640935165549,299.0466177245727,a
105.49085679708558,307.89516154550125,a
106.36904314900279,277.7363388580348,a
97.76784286933123,228.19350483535533,a
115.30679542924528,237.31453742713353,a
