x,y,z
89.88627323402659,142.05562620159225,a
93.24474724345933,182.17075566126806,a
54.37260664129982,197.0827903486541,a
57.239189179032635,210.72916894948168,a
100.80267513721932,155.14388464875367,a
84.38607966857839,172.60001749676508,a
112.27555392824574,151.95582347396714,a
144.97328582719334,146.10279630600883,a
158.96833290161823,133.90363350388617,a
78.04489447194752,180.7321582588733,a
129.24028512575606,166.5765845756066,a
121.04923742455779,152.6438579645357,a
132.31245040517385,155.95572048694333,a
171.65980110732482,158.36286986087822,a
134.888551756351,151.00609727848337,a
128.65362879131754,139.68997196714395,a
171.75219456120962,154.7540507850689,a
140.0422782403666,144.32807014690235,a
123.35894174804213,177.23381981044037,a
199.0296360372888,127.54303786566174,a
143.09899054161264,99.26702508400194,a
147.7470082392146,101.46032645697665,a
145.22670582919503,149.89329982476772,a
143.89944372535757,125.47804151215325,a
193.30715975838393,112.91135393757008,a
122.57977729242836,127.48204666845425,a
171.56467228191426,142.33191931074037,a
194.55177140192743,100.13793743192537,a
166.00226278397398,101.2411372674826,a
168.5478845618339,166.47623615912715,a
200.3640893574032,64.32441715549936,a
199.06212007109184,104.27291805498686,a
214.49103027760958,112.46168635169704,a
188.05506612774303,77.90794879275808,a
211.48624321640776,107.63901699477981,a
184.34629196784798,70.36543302254353,a
222.4364115929627,110.011351375971,a
196.94323250663646,100.56350103735264,a
223.10169106274736,72.88415521636841,a
194.56549694505742,89.5659918998333,a
186.143069847578,117.08025644263489,a
253.97682607406674,141.33197998429006,a
192.11942891206644,98.0736093119205,a
201.5484338449492,104.66054431420929,a
196.92177917251433,58.22183522884336,a
221.1058355798317,109.19276047165295,a
239.35741014608922,78.28758742313096,a
198.29370369959258,33.53524870579304,a
208.11971745112749,116.23161402515092,a
233.12369836750452,28.281743050239015,a
226.71755782977385,78.49259909400485,a
246.47126153829677,74.91433120620496,a
239.05918006139282,75.98302210489385,a
266.5579036633033,84.03188329162532,a
238.18103244169976,94.8331830752382,a
252.98701712755064,81.55730500734427,a
239.4119965242882,84.55168417517268,a
245.10783672205454,102.15475219094617,a
94.3384133850723,246.50008878823047,b
112.06317068441625,243.3225730567372,b
127.64660038938548,200.1829545983452,b
157.23870051826827,233.9720025727126,b
143.97671776943446,198.5511140620145,b
142.77847021901565,222.4217310250615,b
111.8401125766303,230.261279770302,b
202.33109046754345,218.30671155925495,b
158.06791529809794,201.75089868425584,b
202.5225874991465,159.84806400901698,b
192.99761932152475,180.93099413561453,b
191.2436615240452,194.44952401344364,b
181.83799468737433,171.40290713771458,b
230.57443543949913,222.01458144162257,b
259.81977888457266,167.39676871689528,b
242.20440045019282,181.55000649731448,b
220.48316123745747,139.8865590320696,b
231.9075500519786,181.29025083998516,b
183.9630313772081,198.65282170866408,b
215.32836601400174,149.7971437329208,b
230.70843126450143,154.90131906114135,b
246.16136625598085,190.2168809353218,b
253.0332911105459,194.94585863349005,b
267.490569315443,172.9256470130888,b
247.18557030481693,100.69954722712993,b
234.47839557428853,122.00027382241882,b
285.1818133408203,171.10939885254413,b
256.9475413496849,145.03917069463938,b
263.7966576474911,142.9997208630661,b
242.43095084765727,126.28947690767029,b
266.76916376930967,120.82234674056258,b
251.37031638470467,124.02387234940778,b
261.6555838727005,126.1492211750047,b
265.1033507030907,137.30311070239742,b
267.31857722789135,101.38775767647473,b
268.54626795912316,143.63196751941132,b
335.9808018985427,137.4570914149652,b
